pop_number,name,character,category,product_line,release_year,exclusivity,variant_flags,counts_toward_total,source,source_url,needs_review,notes
1171,The Amazing Spider-Man (Unmasked),The Amazing Spider-Man,peter,Pop! Spider-Man: No Way Home,,PX Previews,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,true,
1179,Spider-Man (Figure 1/8) (Deluxe),Spider-Man,peter,Pop! Spider-Man: No Way Home,,Target Con 2023,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1180,The Lizard (Figure 2/8) (Deluxe),The Lizard,friends_foes,Pop! Spider-Man: No Way Home,,Target Con 2023,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1181,Sandman (Figure 3/8) (Deluxe),Sandman,friends_foes,Pop! Spider-Man: No Way Home,,Target,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1182,Electro (Figure 4/8) (Deluxe),Electro,friends_foes,Pop! Spider-Man: No Way Home,,Target,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1183,Friendly Neighborhood Spider-Man (Figure 5/8) (Deluxe),Friendly Neighborhood Spider-Man,peter,Pop! Spider-Man: No Way Home,,Target,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1184,Doc Ock (Figure 6/8) (Deluxe),Doc Ock,friends_foes,Pop! Spider-Man: No Way Home,,Target,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1185,Green Goblin (Figure 7/8) (Deluxe),Green Goblin,friends_foes,Pop! Spider-Man: No Way Home,,Target,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1186,The Amazing Spider-Man (Figure 8/8) (Deluxe),The Amazing Spider-Man,peter,Pop! Spider-Man: No Way Home,,Target,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,true,
1221,Matt Murdock,Matt Murdock,friends_foes,Pop! Spider-Man: No Way Home,,Entertainment Earth,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-no-way-home-checklist/,false,
1223,Spider-Man,Spider-Man,peter,Pop! Spider-Man: Across the Spider-Verse,,,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,true,
1223,Spider-Man (Translucent),Spider-Man,peter,Pop! Spider-Man: Across the Spider-Verse,,Amazon,translucent,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,true,
1224,Spider-Gwen,Spider-Gwen,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1225,Spider-Man 2099,Spider-Man 2099,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1226,The Spot,The Spot,friends_foes,Pop! Spider-Man: Across the Spider-Verse,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1226,The Spot (Glow) (Black Light),The Spot,friends_foes,Pop! Spider-Man: Across the Spider-Verse,,Target T-Shirt Bundle,glow|blacklight,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1227,Spider-Man India,Spider-Man India,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1227,Spider-Man India (Deco),Spider-Man India,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,FYE,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1228,Spider-Woman,Spider-Woman,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1229,Spider-Byte,Spider-Byte,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1230,Medieval Vulture,Medieval Vulture,friends_foes,Pop! Spider-Man: Across the Spider-Verse,,,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1231,Spider-Punk,Spider-Punk,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,Funko Shop,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1232,Scarlet Spider,Scarlet Spider,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,Walmart,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1233,Miles Morales,Miles Morales,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,Target,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1233,Miles Morales (Black Light),Miles Morales,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,Target,blacklight,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1234,Gwen Stacy,Gwen Stacy,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,GameStop,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,true,
1236,Spider-Man (10 inch),Spider-Man,peter,Pop! Spider-Man: Across the Spider-Verse,,Target,oversized,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,true,
1236,Spider-Man (10 inch) (Black Light),Spider-Man,peter,Pop! Spider-Man: Across the Spider-Verse,,Target,blacklight|oversized,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,true,
1239,Peter B. Parker & Mayday,Peter B. Parker & Mayday,peter,Pop! Spider-Man: Across the Spider-Verse,,Hot Topic,,true,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,true,
1267,Spider-Man 2099 (Glow),Spider-Man 2099,spider_verse,Pop! Spider-Man: Across the Spider-Verse,,Entertainment Earth,glow,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-across-the-spider-verse-checklist/,false,
1294,Miles Morales (Winter Suit),Miles Morales,spider_verse,Pop! Spider-Man: Miles Morales (Gamerverse),,Hot Topic,,false,popshopguide,https://www.popshopguide.com/funko-pop-checklists/pop-marvel-checklist/pop-spider-man-miles-morales-gamerverse-checklist/,false,
1333,Spider-Man,Spider-Man,peter,Pop! Marvel,,,,true,funkypriceguide,https://funkypriceguide.com/checklist/funko-pop-spider-man/,false,
